pos,signal,snr,fspl,label
687,-113,8.800000191,-83.488743,0
688,-89,11.80000019,-89.68208698,0
689,-72,11.5,-84.49557027,0
690,-46,13,-87.79852001,0
691,-112,7,-83.488743,0
692,-95,10.5,-89.68208698,0
693,-107,-10.80000019,-87.79852001,0
694,-79,10,-84.49557027,0
695,-101,7.800000191,-89.68208698,0
696,-75,7.800000191,-84.49557027,0
697,-51,8.199999809,-87.79852001,0
698,-112,6.199999809,-83.488743,0
699,-79,11.5,-84.49557027,0
700,-51,12,-87.79852001,0
701,-115,6.800000191,-83.488743,0
702,-79,10.5,-84.49557027,0
703,-53,12.19999981,-87.79852001,0
704,-73,11.80000019,-84.49557027,0
705,-47,11,-87.79852001,0
706,-93,9.5,-89.68208698,0
707,-97,9,-89.68208698,0
708,-79,13.80000019,-84.49557027,0
709,-48,12.5,-87.79852001,0
710,-114,8,-83.488743,0
711,-112,6.199999809,-83.488743,0
712,-45,9,-87.79852001,0
713,-71,8.5,-84.49557027,0
714,-109,7.800000191,-83.488743,0
715,-48,9.5,-87.79852001,0
716,-103,7,-89.68208698,0
717,-77,9,-84.49557027,0
718,-73,11,-84.49557027,0
719,-90,10,-89.68208698,0
720,-111,7.5,-83.488743,0
721,-45,11.5,-87.79852001,0
722,-89,10.5,-89.68208698,0
723,-45,11,-87.79852001,0
724,-72,10,-84.49557027,0
725,-53,8.800000191,-87.79852001,0
726,-77,7.199999809,-84.49557027,0
727,-45,11.5,-87.79852001,0
728,-110,8,-83.488743,0
729,-71,10.80000019,-84.49557027,0
730,-46,12,-87.79852001,0
731,-71,11,-84.49557027,0
732,-91,8.800000191,-89.68208698,0
733,-43,8.800000191,-87.79852001,0
734,-90,12.80000019,-89.68208698,0
735,-73,9,-84.49557027,0
736,-55,9.800000191,-87.79852001,0
737,-85,10,-84.49557027,0
738,-97,11,-89.68208698,0
739,-113,6.199999809,-83.488743,0
740,-42,9.5,-87.79852001,0
741,-72,9.800000191,-84.49557027,0
742,-48,11.19999981,-87.79852001,0
743,-73,11.5,-84.49557027,0
744,-116,5.800000191,-83.488743,0
745,-113,5.800000191,-83.488743,0
746,-43,9.800000191,-87.79852001,0
747,-73,11,-84.49557027,0
748,-42,10,-87.79852001,0
749,-94,11.19999981,-89.68208698,0
750,-72,13.19999981,-84.49557027,0
751,-113,5.5,-83.488743,0
752,-71,11.19999981,-84.49557027,0
753,-113,6,-83.488743,0
754,-42,10.19999981,-87.79852001,0
755,-94,11.19999981,-89.68208698,0
756,-99,11,-89.68208698,0
757,-117,6.5,-83.488743,0
758,-53,10.19999981,-87.79852001,0
759,-79,13,-84.49557027,0
760,-103,11.80000019,-89.68208698,0
761,-53,9.5,-87.79852001,0
762,-85,8.800000191,-84.49557027,0
763,-42,10.19999981,-87.79852001,0
764,-93,10.19999981,-89.68208698,0
765,-41,9.5,-87.79852001,0
766,-71,12.80000019,-84.49557027,0
767,-43,9.800000191,-87.79852001,0
768,-72,10.19999981,-84.49557027,0
769,-95,11.80000019,-89.68208698,0
770,-40,11.5,-85.12304727,0
